sigle;titre;credits;prealables;url;titre_court;couleur
RLT-2002;Prévention primaire en SST;3;KIN 21989 OU RLT-1000 OU KIN-2001 OU GIN-3010 OU GRH-1000;https://www.ulaval.ca/etudes/cours/rlt-2002-prevention-primaire-en-sst;PrévSST1;
RLT-3300;Introduction à l'ergonomie;3;;https://www.ulaval.ca/etudes/cours/rlt-3300-introduction-a-lergonomie;IntrErgo;
SIO-2100;Gestion stratégique des technologies de l'information;3;GLO-1901 OU IFT-1004 OU SIO-1000 OU SIO-1001 OU SIO-1101;https://www.ulaval.ca/etudes/cours/sio-2100-gestion-strategique-des-technologies-de-linformation;GestTISt;
SIO-2103;Conception des systèmes d'information organisationnels I;3;GLO-1901 OU IFT-1004 OU SIO-1000 OU SIO-1001 OU SIO-1101 OU SIO-2000;https://www.ulaval.ca/etudes/cours/sio-2103-conception-des-systemes-dinformation-organisationnels-i;ConcSIO1;
SIO-2104;Gestion de l'innovation technologique;3;SIO-1000 OU SIO-1001 OU IFT-1004 OU IFT-1903 OU GLO-1901;https://www.ulaval.ca/etudes/cours/sio-2104-gestion-de-linnovation-technologique;GestInno;
SIO-3100;Conception des systèmes d'information organisationnels II;3;IFT-1003 OU SIO-2103;https://www.ulaval.ca/etudes/cours/sio-3100-conception-des-systemes-dinformation-organisationnels-ii;ConcSIO2;
SIO-3105;Analyse d'affaires pour la transformation organisationnelle;3;;https://www.ulaval.ca/etudes/cours/sio-3105-analyse-daffaires-pour-la-transformation-organisationnelle;AnalTran;
STT-1100;Introduction à la science des données;3;;https://www.ulaval.ca/etudes/cours/stt-1100-introduction-a-la-science-des-donnees;IntrScDo;
STT-1900;Méthodes statistiques pour l'ingénierie;3;MAT-0150 ET MAT-0260;https://www.ulaval.ca/etudes/cours/stt-1900-methodes-statistiques-pour-lingenierie;MéthStat;#E76F51
STT-4230;R pour scientifique;3;;https://www.ulaval.ca/etudes/cours/stt-4230-r-pour-scientifique;RScienti;
