sigle;session;section;mode;jour;heure_debut;heure_fin
GIN-3110;A20;;;;;
GIN-3110;A21;;;;;
GIN-3110;A22;;;;;
GIN-3110;A23;;;;;
GIN-3110;A27;;;;;
GIN-3110;A28;;;;;
GIN-3110;A29;;;;;
GIN-3110;A30;;;;;
GIN-3110;A31;;;;;
GIN-3220;H26;A;P;2;10:30;12:20
GIN-3220;H26;A;P;4;11:30;13:20
GIN-3220;H25;A;P;2;10:30;12:20
GIN-3220;H25;A;P;4;10:30;12:20
GIN-3220;H21;;;;;
GIN-3220;H22;;;;;
GIN-3220;H23;;;;;
GIN-3220;H24;;;;;
GIN-3220;H27;;;;;
GIN-3220;H28;;;;;
GIN-3220;H29;;;;;
GIN-3220;H30;;;;;
GIN-3220;H31;;;;;
GIN-4003;H26;A;P;1;15:30;17:20
GIN-4003;H26;A;P;5;14:30;16:20
GIN-4003;H25;A;P;1;15:30;17:20
GIN-4003;H25;A;P;3;18:30;20:20
GIN-4003;H21;;;;;
GIN-4003;H22;;;;;
GIN-4003;H23;;;;;
GIN-4003;H24;;;;;
GIN-4003;H27;;;;;
GIN-4003;H28;;;;;
GIN-4003;H29;;;;;
GIN-4003;H30;;;;;
GIN-4003;H31;;;;;
GLO-1901;A26;HA;H;3;17:30;18:20
GLO-1901;A26;HB;H;3;17:30;18:20
GLO-1901;H26;HA;H;4;17:30;18:20
GLO-1901;H26;HB;H;4;17:30;18:20
GLO-1901;A25;HA;H;3;17:30;18:20
GLO-1901;A25;HB;H;3;17:30;18:20
GLO-1901;A25;HC;H;3;17:30;18:20
GLO-1901;A20;;;;;
GLO-1901;A21;;;;;
GLO-1901;A22;;;;;
GLO-1901;A23;;;;;
GLO-1901;A24;;;;;
GLO-1901;A27;;;;;
GLO-1901;A28;;;;;
GLO-1901;A29;;;;;
GLO-1901;A30;;;;;
GLO-1901;A31;;;;;
GLO-1901;H21;;;;;
GLO-1901;H22;;;;;
GLO-1901;H23;;;;;
GLO-1901;H24;;;;;
GLO-1901;H25;;;;;
GLO-1901;H27;;;;;
GLO-1901;H28;;;;;
GLO-1901;H29;;;;;
GLO-1901;H30;;;;;
GLO-1901;H31;;;;;
GLO-2100;A26;A;P;4;15:30;18:20
GLO-2100;A26;A;P;5;10:30;12:20
GLO-2100;A26;B;P;4;15:30;18:20
GLO-2100;A26;B;P;5;12:30;14:20
GLO-2100;A25;A;P;4;10:30;11:50
GLO-2100;A25;A;P;4;15:30;16:50
GLO-2100;A25;A;P;5;10:30;12:20
GLO-2100;A25;B;P;4;10:30;11:50
GLO-2100;A25;B;P;4;15:30;16:50
GLO-2100;A25;B;P;5;12:30;14:20
GLO-2100;A24;A;P;4;10:30;11:50
GLO-2100;A24;A;P;4;15:30;16:50
GLO-2100;A24;A;P;5;10:30;12:20
GLO-2100;A24;B;P;4;10:30;11:50
GLO-2100;A24;B;P;4;15:30;16:50
GLO-2100;A24;B;P;5;12:30;14:20
GLO-2100;A20;;;;;
GLO-2100;A21;;;;;
GLO-2100;A22;;;;;
GLO-2100;A23;;;;;
GLO-2100;A27;;;;;
GLO-2100;A28;;;;;
GLO-2100;A29;;;;;
GLO-2100;A30;;;;;
GLO-2100;A31;;;;;
GLO-4001;A25;A;P;4;09:30;12:20
GLO-4001;A25;A;P;5;08:30;10:20
GLO-4001;A25;B;P;4;09:30;12:20
GLO-4001;A25;B;P;5;10:30;12:20
GLO-4001;A24;A;P;4;09:30;12:20
GLO-4001;A24;A;P;5;08:30;10:20
GLO-4001;A24;B;P;4;09:30;12:20
GLO-4001;A24;B;P;5;10:30;12:20
GLO-4001;A20;;;;;
GLO-4001;A21;;;;;
GLO-4001;A22;;;;;
GLO-4001;A23;;;;;
GLO-4001;A26;;;;;
GLO-4001;A27;;;;;
GLO-4001;A28;;;;;
GLO-4001;A29;;;;;
GLO-4001;A30;;;;;
GMC-1001;A26;A;P;2;13:30;15:20
GMC-1001;A26;A;P;3;10:30;12:20
GMC-1001;A26;A;P;5;13:30;15:20
GMC-1001;H26;A;P;1;13:30;15:20
GMC-1001;H26;A;P;3;13:30;15:20
GMC-1001;H26;A;P;3;15:30;17:20
GMC-1001;A25;A;P;1;16:30;18:20
GMC-1001;A25;A;P;2;13:30;15:20
GMC-1001;A25;A;P;3;10:30;12:20
GMC-1001;A20;;;;;
GMC-1001;A21;;;;;
GMC-1001;A22;;;;;
GMC-1001;A23;;;;;
GMC-1001;A24;;;;;
GMC-1001;A27;;;;;
GMC-1001;A28;;;;;
GMC-1001;A29;;;;;
GMC-1001;A30;;;;;
GMC-1001;A31;;;;;
