sigle;session;section;mode;jour;heure_debut;heure_fin
ENT-3010;A30;;;;;
ENT-3010;A31;;;;;
ENT-3010;E21;;;;;
ENT-3010;E22;;;;;
ENT-3010;E23;;;;;
ENT-3010;E24;;;;;
ENT-3010;E25;;;;;
ENT-3010;E27;;;;;
ENT-3010;E28;;;;;
ENT-3010;E29;;;;;
ENT-3010;E30;;;;;
ENT-3010;E31;;;;;
ENT-3010;H21;;;;;
ENT-3010;H22;;;;;
ENT-3010;H23;;;;;
ENT-3010;H24;;;;;
ENT-3010;H25;;;;;
ENT-3010;H27;;;;;
ENT-3010;H28;;;;;
ENT-3010;H29;;;;;
ENT-3010;H30;;;;;
ENT-3010;H31;;;;;
GGR-2109;E26;;;;;
GGR-2109;E24;;;;;
GGR-2109;E21;;;;;
GGR-2109;E22;;;;;
GGR-2109;E23;;;;;
GGR-2109;E25;;;;;
GGR-2109;E27;;;;;
GGR-2109;E28;;;;;
GGR-2109;E29;;;;;
GGR-2109;E30;;;;;
GGR-2109;E31;;;;;
GIF-1003;A26;A;P;2;09:30;12:20
GIF-1003;A26;A;P;5;12:30;14:20
GIF-1003;A26;B;P;2;09:30;12:20
GIF-1003;A26;B;P;5;14:30;16:20
GIF-1003;A26;C;P;2;09:30;12:20
GIF-1003;A26;C;P;5;16:30;18:20
GIF-1003;H26;A;P;3;09:30;12:20
GIF-1003;H26;A;P;5;10:30;12:20
GIF-1003;H26;B;P;3;09:30;12:20
GIF-1003;H26;B;P;5;12:30;14:20
GIF-1003;H26;C;P;3;09:30;12:20
GIF-1003;H26;C;P;5;14:30;16:20
GIF-1003;H26;D;P;3;09:30;12:20
GIF-1003;H26;D;P;5;16:30;18:20
GIF-1003;A25;A;P;2;15:30;18:20
GIF-1003;A25;A;P;5;12:30;14:20
GIF-1003;A25;B;P;2;15:30;18:20
GIF-1003;A25;B;P;5;14:30;16:20
GIF-1003;A25;C;P;2;15:30;18:20
GIF-1003;A25;C;P;5;16:30;18:20
GIF-1003;A20;;;;;
GIF-1003;A21;;;;;
GIF-1003;A22;;;;;
GIF-1003;A23;;;;;
GIF-1003;A24;;;;;
GIF-1003;A27;;;;;
GIF-1003;A28;;;;;
GIF-1003;A29;;;;;
GIF-1003;A30;;;;;
GIF-1003;A31;;;;;
GIF-1003;H21;;;;;
GIF-1003;H22;;;;;
GIF-1003;H23;;;;;
GIF-1003;H24;;;;;
GIF-1003;H25;;;;;
GIF-1003;H27;;;;;
GIF-1003;H28;;;;;
GIF-1003;H29;;;;;
GIF-1003;H30;;;;;
GIF-1003;H31;;;;;
GIN-1500;A26;A;P;2;08:30;10:20
GIN-1500;A26;A;P;4;13:30;15:20
GIN-1500;A25;A;P;2;08:30;10:20
GIN-1500;A25;A;P;4;13:30;15:20
GIN-1500;A24;A;P;2;08:30;10:20
GIN-1500;A24;A;P;4;13:30;15:20
GIN-1500;A20;;;;;
GIN-1500;A21;;;;;
GIN-1500;A22;;;;;
GIN-1500;A23;;;;;
GIN-1500;A27;;;;;
GIN-1500;A28;;;;;
GIN-1500;A29;;;;;
GIN-1500;A30;;;;;
GIN-1500;A31;;;;;
GIN-2010;H26;A;P;1;08:30;10:20
GIN-2010;H26;A;P;1;10:30;12:20
GIN-2010;H26;A;P;4;13:30;15:20
GIN-2010;H25;A;P;1;08:30;10:20
GIN-2010;H25;A;P;1;10:30;12:20
GIN-2010;H25;A;P;4;13:30;15:20
GIN-2010;H21;;;;;
GIN-2010;H22;;;;;
GIN-2010;H23;;;;;
GIN-2010;H24;;;;;
GIN-2010;H27;;;;;
GIN-2010;H28;;;;;
GIN-2010;H29;;;;;
GIN-2010;H30;;;;;
GIN-2010;H31;;;;;
GIN-2110;A26;A;P;2;09:30;12:20
GIN-2110;A26;A;P;4;15:30;17:20
GIN-2110;A26;B;P;2;09:30;12:20
GIN-2110;A26;B;P;5;08:30;10:20
GIN-2110;A25;A;P;2;09:30;12:20
GIN-2110;A25;A;P;4;15:30;17:20
GIN-2110;A25;B;P;2;09:30;12:20
GIN-2110;A25;B;P;5;08:30;10:20
GIN-2110;A24;A;P;2;09:30;12:20
GIN-2110;A24;A;P;4;15:30;17:20
GIN-2110;A24;B;P;2;09:30;12:20
GIN-2110;A24;B;P;5;08:30;10:20
GIN-2110;A20;;;;;
GIN-2110;A21;;;;;
GIN-2110;A22;;;;;
GIN-2110;A23;;;;;
GIN-2110;A27;;;;;
GIN-2110;A28;;;;;
GIN-2110;A29;;;;;
GIN-2110;A30;;;;;
GIN-2110;A31;;;;;
GIN-2120;A26;A;P;4;08:30;10:20
GIN-2120;A26;A;P;5;10:30;11:20
GIN-2120;A26;A;P;5;11:30;12:20
GIN-2120;A25;A;P;4;09:00;11:50
GIN-2120;A25;A;P;5;10:30;12:20
GIN-2120;A24;A;P;4;09:00;11:50
GIN-2120;A24;A;P;5;10:30;12:20
GIN-2120;A20;;;;;
GIN-2120;A21;;;;;
GIN-2120;A22;;;;;
GIN-2120;A23;;;;;
GIN-2120;A27;;;;;
GIN-2120;A28;;;;;
GIN-2120;A29;;;;;
GIN-2120;A30;;;;;
GIN-2120;A31;;;;;
GIN-3000;H26;H1;H;1;08:30;11:20
GIN-3000;H26;H1;H;3;13:00;14:30
GIN-3000;H25;H1;H;1;08:30;11:30
GIN-3000;H25;H1;H;3;13:00;14:30
GIN-3000;H21;;;;;
GIN-3000;H22;;;;;
GIN-3000;H23;;;;;
GIN-3000;H24;;;;;
GIN-3000;H27;;;;;
GIN-3000;H28;;;;;
GIN-3000;H29;;;;;
GIN-3000;H30;;;;;
GIN-3000;H31;;;;;
GIN-3010;H26;A;P;3;08:30;11:20
GIN-3010;H25;A;P;3;08:30;11:20
GIN-3010;H21;;;;;
GIN-3010;H22;;;;;
GIN-3010;H23;;;;;
GIN-3010;H24;;;;;
GIN-3010;H27;;;;;
GIN-3010;H28;;;;;
GIN-3010;H29;;;;;
GIN-3010;H30;;;;;
GIN-3010;H31;;;;;
GIN-3020;H26;A;P;2;08:30;10:20
GIN-3020;H26;A;P;2;10:30;12:20
GIN-3020;H26;A;P;3;15:30;17:20
GIN-3020;H25;A;P;2;08:30;10:20
GIN-3020;H25;A;P;2;10:30;12:20
GIN-3020;H25;A;P;3;15:30;17:20
GIN-3020;H21;;;;;
GIN-3020;H22;;;;;
GIN-3020;H23;;;;;
GIN-3020;H24;;;;;
GIN-3020;H27;;;;;
GIN-3020;H28;;;;;
GIN-3020;H29;;;;;
GIN-3020;H30;;;;;
GIN-3020;H31;;;;;
GIN-3030;A26;A;P;1;09:00;10:50
GIN-3030;A26;A;P;3;08:30;10:20
GIN-3030;A26;A;P;3;13:30;15:20
GIN-3030;A26;B;P;1;09:00;10:50
GIN-3030;A26;B;P;1;13:30;15:20
GIN-3030;A26;B;P;3;13:30;15:20
GIN-3030;A25;A;P;1;10:00;11:50
GIN-3030;A25;A;P;3;08:30;10:20
GIN-3030;A25;A;P;3;14:00;15:50
GIN-3030;A25;B;P;1;10:00;11:50
GIN-3030;A25;B;P;1;13:30;15:20
GIN-3030;A25;B;P;3;14:00;15:50
GIN-3030;A24;A;P;1;09:00;10:50
GIN-3030;A24;A;P;3;08:30;10:20
GIN-3030;A24;A;P;3;13:30;15:20
GIN-3030;A24;B;P;1;09:00;10:50
GIN-3030;A24;B;P;1;13:30;15:20
GIN-3030;A24;B;P;3;13:30;15:20
GIN-3030;A20;;;;;
GIN-3030;A21;;;;;
GIN-3030;A22;;;;;
GIN-3030;A23;;;;;
GIN-3030;A27;;;;;
GIN-3030;A28;;;;;
GIN-3030;A29;;;;;
GIN-3030;A30;;;;;
GIN-3030;A31;;;;;
GIN-3040;H26;A;P;3;13:30;15:20
GIN-3040;H26;A;P;4;10:30;12:20
GIN-3040;H26;A;P;5;13:30;15:20
GIN-3040;H25;A;P;3;13:30;15:20
GIN-3040;H25;A;P;4;10:30;12:20
GIN-3040;H25;A;P;5;13:30;15:20
GIN-3040;H21;;;;;
GIN-3040;H22;;;;;
GIN-3040;H23;;;;;
GIN-3040;H24;;;;;
GIN-3040;H27;;;;;
GIN-3040;H28;;;;;
GIN-3040;H29;;;;;
GIN-3040;H30;;;;;
GIN-3040;H31;;;;;
GIN-3050;A26;A;P;4;10:30;13:20
GIN-3050;A25;A;P;4;09:30;12:20
GIN-3050;A24;A;P;4;09:30;12:20
GIN-3050;A20;;;;;
GIN-3050;A21;;;;;
GIN-3050;A22;;;;;
GIN-3050;A23;;;;;
GIN-3050;A27;;;;;
GIN-3050;A28;;;;;
GIN-3050;A29;;;;;
GIN-3050;A30;;;;;
GIN-3050;A31;;;;;
GIN-3060;A26;H1;H;1;08:30;11:30
GIN-3060;A26;H1;H;5;10:00;11:30
GIN-3060;A25;H1;H;1;08:30;11:30
GIN-3060;A25;H1;H;5;10:00;11:30
GIN-3060;A24;H1;H;1;08:30;11:30
GIN-3060;A24;H1;H;5;10:30;12:00
GIN-3060;A20;;;;;
GIN-3060;A21;;;;;
GIN-3060;A22;;;;;
GIN-3060;A23;;;;;
GIN-3060;A27;;;;;
GIN-3060;A28;;;;;
GIN-3060;A29;;;;;
GIN-3060;A30;;;;;
GIN-3060;A31;;;;;
GIN-3080;A26;A;P;1;13:30;15:20
GIN-3080;A26;A;P;1;15:30;17:20
GIN-3080;A26;A;P;3;10:30;12:20
GIN-3080;A26;B;P;1;13:30;15:20
GIN-3080;A26;B;P;1;17:30;19:20
GIN-3080;A26;B;P;3;10:30;12:20
GIN-3080;A26;C;P;1;13:30;15:20
GIN-3080;A26;C;P;1;19:30;21:20
GIN-3080;A26;C;P;3;10:30;12:20
GIN-3080;A26;D;P;1;13:30;15:20
GIN-3080;A26;D;P;2;15:30;17:20
GIN-3080;A26;D;P;3;10:30;12:20
GIN-3080;A26;E;P;1;13:30;15:20
GIN-3080;A26;E;P;2;17:30;19:20
GIN-3080;A26;E;P;3;10:30;12:20
GIN-3080;A26;F;P;1;13:30;15:20
GIN-3080;A26;F;P;2;19:30;21:20
GIN-3080;A26;F;P;3;10:30;12:20
GIN-3080;A25;A;P;1;13:30;15:20
GIN-3080;A25;A;P;1;15:30;18:20
GIN-3080;A25;A;P;3;10:30;12:20
