sigle;session;section;mode;jour;heure_debut;heure_fin
GMC-1004;A31;;;;;
GMC-1005;H27;;;;;
GMC-1005;H28;;;;;
GMC-1005;H29;;;;;
GMC-1005;H30;;;;;
GMC-1005;H31;;;;;
GMC-1024;A26;A;P;1;08:30;11:20
GMC-1024;A26;A;P;2;10:30;13:20
GMC-1024;A26;B;P;1;08:30;11:20
GMC-1024;A26;B;P;3;13:30;16:20
GMC-1024;A26;C;P;1;08:30;11:20
GMC-1024;A26;C;P;4;11:30;14:20
GMC-1024;H26;A;P;1;10:30;13:20
GMC-1024;H26;A;P;3;10:30;13:20
GMC-1024;A25;A;P;1;08:30;11:20
GMC-1024;A25;A;P;2;10:30;13:20
GMC-1024;A25;B;P;1;08:30;11:20
GMC-1024;A25;B;P;3;13:30;16:20
GMC-1024;A25;C;P;1;08:30;11:20
GMC-1024;A25;C;P;4;13:30;16:20
GMC-1024;A25;D;P;1;08:30;11:20
GMC-1024;A25;D;P;1;13:30;16:20
GMC-1024;A26;;;;;
GMC-1024;A27;;;;;
GMC-1024;A28;;;;;
GMC-1024;A29;;;;;
GMC-1024;A30;;;;;
GMC-1024;A31;;;;;
GMC-1024;H27;;;;;
GMC-1024;H28;;;;;
GMC-1024;H29;;;;;
GMC-1024;H30;;;;;
GMC-1024;H31;;;;;
GMC-1300;H26;;;;;
GMC-1300;H27;;;;;
GMC-1300;H28;;;;;
GMC-1300;H29;;;;;
GMC-1300;H30;;;;;
GMC-1300;H31;;;;;
GMC-2001;H26;A;P;2;10:30;12:20
GMC-2001;H26;A;P;3;08:30;10:20
GMC-2001;H26;A;P;5;10:30;12:20
GMC-2001;H25;A;P;2;10:30;12:20
GMC-2001;H25;A;P;3;08:30;10:20
GMC-2001;H25;A;P;5;10:30;12:20
GMC-2001;H26;;;;;
GMC-2001;H27;;;;;
GMC-2001;H28;;;;;
GMC-2001;H29;;;;;
GMC-2001;H30;;;;;
GMC-2001;H31;;;;;
GMC-2002;A26;A;P;1;08:30;10:20
GMC-2002;A26;A;P;1;15:30;17:20
GMC-2002;A26;A;P;3;15:30;17:20
GMC-2002;A25;A;P;1;08:30;10:20
GMC-2002;A25;A;P;1;15:30;17:20
GMC-2002;A25;A;P;3;15:30;17:20
GMC-2002;A24;A;P;1;08:30;10:20
GMC-2002;A24;A;P;1;15:30;17:20
GMC-2002;A24;A;P;3;15:30;17:20
GMC-2002;A25;;;;;
GMC-2002;A26;;;;;
GMC-2002;A27;;;;;
GMC-2002;A28;;;;;
GMC-2002;A29;;;;;
GMC-2002;A30;;;;;
GMC-2002;A31;;;;;
GMC-2003;A26;A;P;2;10:30;12:20
GMC-2003;A26;A;P;3;10:30;12:20
GMC-2003;A26;A;P;5;13:30;15:20
GMC-2003;A25;A;P;2;10:30;12:20
GMC-2003;A25;A;P;3;10:30;12:20
GMC-2003;A25;A;P;5;11:30;13:20
GMC-2003;A24;A;P;2;10:30;12:20
GMC-2003;A24;A;P;3;10:30;12:20
GMC-2003;A24;A;P;5;11:30;13:20
GMC-2003;A25;;;;;
GMC-2003;A26;;;;;
GMC-2003;A27;;;;;
GMC-2003;A28;;;;;
GMC-2003;A29;;;;;
GMC-2003;A30;;;;;
GMC-2003;A31;;;;;
GMC-2005;H26;A;P;2;15:30;17:20
GMC-2005;H26;A;P;3;15:30;17:20
GMC-2005;H26;A;P;4;15:30;17:20
GMC-2005;H25;A;P;2;15:30;17:20
GMC-2005;H25;A;P;3;15:30;17:20
GMC-2005;H25;A;P;4;15:30;17:20
GMC-2005;H26;;;;;
GMC-2005;H27;;;;;
GMC-2005;H28;;;;;
GMC-2005;H29;;;;;
GMC-2005;H30;;;;;
GMC-2005;H31;;;;;
GMC-2006;A26;A;P;2;13:30;15:20
GMC-2006;A26;A;P;3;08:30;10:20
GMC-2006;A26;A;P;4;15:30;17:20
GMC-2006;A25;A;P;2;13:30;15:20
GMC-2006;A25;A;P;3;08:30;10:20
GMC-2006;A25;A;P;4;15:30;17:20
GMC-2006;A24;A;P;2;13:30;15:20
GMC-2006;A24;A;P;3;08:30;10:20
GMC-2006;A24;A;P;4;15:30;17:20
GMC-2006;A25;;;;;
GMC-2006;A26;;;;;
GMC-2006;A27;;;;;
GMC-2006;A28;;;;;
GMC-2006;A29;;;;;
GMC-2006;A30;;;;;
GMC-2006;A31;;;;;
GMC-2007;H26;A;P;1;14:30;16:20
GMC-2007;H26;A;P;1;16:30;18:20
GMC-2007;H26;A;P;3;13:30;15:20
GMC-2007;H26;B;P;1;14:30;16:20
GMC-2007;H26;B;P;3;08:30;10:20
GMC-2007;H26;B;P;3;13:30;15:20
GMC-2007;H25;A;P;1;14:30;16:20
GMC-2007;H25;A;P;1;16:30;18:20
GMC-2007;H25;A;P;3;13:30;15:20
GMC-2007;H25;B;P;1;14:30;16:20
GMC-2007;H25;B;P;3;08:30;10:20
GMC-2007;H25;B;P;3;13:30;15:20
GMC-2007;H26;;;;;
GMC-2007;H27;;;;;
GMC-2007;H28;;;;;
GMC-2007;H29;;;;;
GMC-2007;H30;;;;;
GMC-2007;H31;;;;;
GMC-2008;H26;A;P;2;13:30;15:20
GMC-2008;H26;A;P;3;10:30;12:20
GMC-2008;H25;A;P;2;13:30;15:20
GMC-2008;H25;A;P;3;10:30;12:20
GMC-2008;H26;;;;;
GMC-2008;H27;;;;;
GMC-2008;H28;;;;;
GMC-2008;H29;;;;;
GMC-2008;H30;;;;;
GMC-2008;H31;;;;;
GMC-2024;A26;A;P;5;08:30;12:20
GMC-2024;A26;B;P;4;11:30;15:20
GMC-2024;A25;A;P;5;08:30;11:20
GMC-2024;A24;A;P;5;08:30;11:20
GMC-2024;A25;;;;;
GMC-2024;A26;;;;;
GMC-2024;A27;;;;;
GMC-2024;A28;;;;;
GMC-2024;A29;;;;;
GMC-2024;A30;;;;;
GMC-2024;A31;;;;;
GMC-2025;H26;A;P;1;10:30;11:20
GMC-2025;H26;A;P;1;12:30;14:20
GMC-2025;H26;B;P;1;10:30;11:20
GMC-2025;H26;B;P;2;08:30;10:20
GMC-2025;H26;C;P;1;10:30;11:20
GMC-2025;H26;C;P;4;11:30;13:20
GMC-2025;H25;A;P;4;08:30;11:20
GMC-2025;H26;;;;;
GMC-2025;H27;;;;;
GMC-2025;H28;;;;;
GMC-2025;H29;;;;;
GMC-2025;H30;;;;;
GMC-2025;H31;;;;;
GMC-2580;A27;;;;;
GMC-2580;A28;;;;;
GMC-2580;A29;;;;;
GMC-2580;A30;;;;;
GMC-2580;A31;;;;;
GMC-2580;E27;;;;;
GMC-2580;E28;;;;;
GMC-2580;E29;;;;;
GMC-2580;E30;;;;;
